hazard,model,accuracy,precision,recall,f1,roc_auc
flood,Random Forest,0.984375,0.75,1.0,0.8571428571428571,0.9904371584699454
landslide,XGBoost,0.9765625,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9956896551724138
